"newspaper_edition_date","headline"
NA,"Vaccine advisers not planning to back Covid jabs for children, says UK minister"
NA,"Head of Australia’s Covid vaccine strategy not ruling out cash incentives to achieve 80% target"
2021-10-16,"US to lift restrictions for fully vaccinated international travelers on 8 November"
2021-12-23,"Michele Brown was vaccinated - but had a suppressed immune system. Would better health advice have saved her?"
NA,"Oregon restores restrictions amid Covid surge boosted by vaccine hesitancy"
NA,"Seth Meyers on Pfizer vaccine’s new name: ‘It’s too late for a rebrand’"
NA,"Biden hails ‘key milestone’ in fight against Covid as FDA approves Pfizer vaccine – as it happened"
NA,"Covid vaccines mandated for employees of a US federal agency for the first time – as it happened"
NA,"Victoria Covid update: Moderna vaccine to be rolled out as Brett Sutton sounds AFL grand final warning"
NA,"Half of American adults fully vaccinated against Covid, Biden officials say"
NA,"Taiwan tech companies buy 10m Covid vaccine doses in deal that sidesteps China"
NA,"Vaccines on horseback: Fiji doctors take long and muddy road to protect remote villages from Covid"
2021-06-16,"TV tonight: go behind the scenes in the global race for Covid vaccines"
NA,"AstraZeneca vaccine: if I get my second dose sooner, how protected will I be against Covid?"
2021-02-04,"UK passes 10m Covid vaccination milestone"
NA,"NSW Covid roadmap explained: what can residents do when state reaches 80% double-dose vaccination and beyond?"
NA,"Solid legal basis for NSW vaccine mandates to enter businesses, expert says"
2021-02-19,"'Compelling evidence' Covid vaccinations working, Sturgeon says"
2021-04-29,"Europe pins hopes on vaccine campaigns as Covid curbs relaxed"
NA,"Why are so many NYPD officers fighting vaccination?"
NA,"‘Do it for our kids’: Ardern urges people to get Covid vaccine as New Zealand reports 13 cases"
2021-05-24,"South-east Asian countries battle Covid resurgence amid lack of vaccines"
2021-04-02,"Covid vaccine scheme 'unacceptably slow' in Europe, says WHO"
NA,"UK urged to give 20% of its Covid vaccines to other countries"
NA,"PM confirms extra doses of Pfizer vaccine – as it happened"
NA,"Africa ‘left behind by rest of the world’ on vaccines, says WHO – as it happened"
NA,"Saturday’s coronavirus news: Russia defends Sputnik V vaccine; Britain’s weekly cases at highest since July"
2021-06-27,"Leeds waits for vaccine as Covid rates go sky-high in student areas"
2021-04-26,"Volunteers sought for clinical trial of Covid vaccine made in Scotland"
NA,"‘Queue jumping’: Australians under 40 receiving Covid vaccine despite not being eligible"
NA,"More than 1.5m Covid vaccines sitting unused in clinics across Australia"
2021-06-11,"UK to give 100m Covid vaccine doses to poorer countries within a year"
NA,"Biden administration backs waiving Covid vaccine patent protections – as it happened"
NA,"Restaurants that reject vaccine passes in favour of ‘equality’ for the unvaccinated harm us all"
NA,"Australian sport faces reckoning over vaccination stance of some athletes"
NA,"Australia to pass 80% vaccination target today, PM says; WA reopening roadmap revealed – as it happened"
2021-10-12,"Individuals cannot solve vaccine inequality. If you're offered a booster, take it"
2021-04-27,"Japan’s slow Covid vaccine rollout casts cloud over Olympics"
NA,"International passengers arriving in Australia may face vaccination registration roadblock"
2021-09-20,"Freedom cuts both ways on vaccines"
2021-08-09,"US companies scrambling to work out policies on vaccinations and masking"
NA,"New York hospital to stop delivering babies as staff quit over vaccine rules"
NA,"Four in five over-16s in UK now fully vaccinated – as it happened"
NA,"Brad Hazzard rebukes state leaders over vaccines as NSW records 163 new Covid cases"
NA,"NSW corrections officials concede vaccine rollout hampered by limited Pfizer access"
2021-05-13,"The Guardian view on the UK economy: vaccine bounce? This is a vaccine bubble"
NA,"Global vaccine rollout vital to securing deal for nature, warns UN biodiversity chief"
NA,"Scotland to require vaccine passports from 1 October – as it happened"
NA,"Kenya in rush to vaccinate 4m children as measles cases surge"
2021-04-11,"France and Germany’s Covid vaccination programmes pick up speed"
NA,"New Zealand fires nine border workers who refused Covid vaccine"
NA,"Morning mail: vaccination plan, medal blitz, stolen generation payouts"
NA,"NHS app gains 2.7m users as people rush to show Covid vaccine status"
NA,"British & Irish Lions players given first Covid vaccine doses before tour"
2021-08-17,"The world is making billions of Covid vaccine doses, so why is Africa not getting them?"
2021-08-21,"Steve Bruce admits ‘a lot’ of Newcastle players have not been vaccinated "
NA,"Indian expansion of Covid vaccine drive may further strain supplies "
NA,"‘Pure gaslighting’: regional NSW residents furious as Covid spreads after vaccines redirected to Sydney students"
NA,"Pfizer accused of holding Brazil ‘to ransom’ over vaccine contract demands"
NA,"Covax delivers first Covid vaccines in 'momentous occasion'"
NA,"NSW reports 415 new Covid cases and four deaths amid warning vaccination ‘not a silver bullet’ "
2021-06-07,"Covid: more than 200 leaders urge G7 to help vaccinate world’s poorest "
NA,"Far-western NSW has Australia’s highest increase in Covid vaccination rates. Check your area – interactive map"
NA,"New York mandates vaccines for health workers – how will it play out?"
2021-05-17,"Fake Covid vaccine and test certificate market is growing, researchers say"
NA,"‘It’s just like flu’: misinformation and fear hamper Papua New Guinea’s Covid vaccine rollout"
NA,"UK to allow ‘surge vaccination’ in Covid hotspots hit by Indian variant"
2021-11-04,"‘He was adamant he didn’t want it’: the pro-vax parents with vaccine-hesitant kids"
NA,"Australia secures 1m Pfizer vaccine doses from Poland, with half earmarked for Sydney Covid hotspots"
NA,"‘Unable to see a future’: Queensland tourism operators fear state won’t stick to Covid vaccination plan"
2021-04-07,"England’s Covid vaccine programme could slow sharply, Sage says"
2021-11-23,"Samantha Willis was a beloved young pregnant mother. Did bad vaccine advice cost her her life?"
NA,"The Morrison government has fallen short in all areas of the Covid vaccine rollout"
NA,"Germany to approve Johnson & Johnson Covid vaccine for adults of all ages"
NA,"Qld Covid update: chief health officer rejects claims of ‘scaremongering’ over AstraZeneca vaccine"
NA,"Australians travelling overseas should be forced to have Covid vaccine, doctors say"
NA,"‘Flat-footed and uninspiring’: experts rate Australia’s Covid vaccination advertising"
2021-07-08,"‘No quarantine’ for vaccinated amber list arrivals in England "
NA,"England will ‘flex’ Covid vaccinations to tackle India variant, minister says"
NA,"Melbourne’s vaccination hubs see long queues as city responds to Covid outbreak"
2021-08-25,"UK child immunisation drop due to ‘vaccination fatigue’, advisers say"
NA,"Moderna signs deal with Australia to supply 25m doses of Covid vaccine"
2021-07-22,"‘I never thought this would happen in France’: day one of showing Covid vaccine pass"
NA,"Scott Morrison refuses to apologise for Covid vaccine rollout in clash with Kiis FM host"
NA,"Australia's Covid vaccine rollout in aged care labelled a 'shemozzle' "
NA,"Australian government considering helping local manufacture of mRNA Covid vaccines"
2021-04-18,"Fears frontline NHS staff are refusing to get Covid vaccine"
NA,"Newcastle aged care facility with 14 Covid cases has less than a third of staff vaccinated"
NA,"Outgoing vaccine chief claims Covid will not be circulating in UK by August"
2021-03-18,"What will the delay mean for England's Covid vaccine programme?"
2021-12-06,"No 10 put all their eggs in vaccine basket in effort to save Christmas"
NA,"Morrison announces 2050 net zero plan; SA to reopen border to vaccinated visitors – as it happened"
NA,"Anthony Albanese mocks Coalition’s new Covid vaccine ad as revamped campaign falls flat"
2021-04-29,"UK sends India oxygen concentrators and ventilators – but no Covid vaccines"
2021-06-17,"France and Spain to ease mask-wearing as Covid vaccine schemes gather pace"
NA,"Scott Morrison warns leaders not to break Covid reopening ‘deal’ as states call for new vaccine modelling"
NA,"States turning down Covid-19 vaccine doses as US demand declines "
NA,"Trevor Noah on Biden’s vaccination mandates: ‘He’s not messing around’"
NA,"Have you convinced your Australian family or friends to get the Covid vaccine? "
2021-04-14,"NHS Covid vaccine booking website crashes as Moderna rollout begins"
NA,"‘This is the worst kind of politics’: Biden criticizes Republicans resisting vaccine mandates – as it happened"
2021-07-17,"Quarantine to remain for vaccinated UK travellers returning from France"
2021-06-01,"In rich countries, vaccines are making Covid-19 a manageable health issue"
NA,"Covid death of Sydney man Aude Alaskar, 27, prompts calls for young people to get vaccinated"
2021-01-31,"Tory minister and Labour mayor reassure groups resisting inoculation"
2021-03-05,"Calls grow to prioritise Italy's priests for Covid vaccination"
2021-06-04,"Joe Biden outlines plan to share 80m Covid vaccine doses with world "
NA,"Coalition expects to make Covid Moderna vaccine available to 12- to 17-year-olds in coming weeks"
NA,"Moderna Covid vaccine to be available in mid-September while Victoria offers AstraZeneca to over-18s"
2021-05-14,"Get a vaccine, win $1m: Ohio offers lottery to beat vaccine hesitancy"
NA,"The NBA’s vaccine problem is bigger than a few high-profile holdouts"
NA,"Nets’ Kyrie Irving says refusal to get vaccinated is about ‘what’s best for me’"
NA,"‘Glastonbury-style’ rush for Covid vaccine by 25- to 29-year-olds in England"
2021-08-06,"Vaccination campaign warns young people they risk missing out on nightlife"
NA,"First Thing: Biden introduces vaccine mandate for 100 million workers"
NA,"Fauci review – laudatory but lenient portrait of the US vaccine czar"
NA,"Republicans slam Biden vaccine rule for businesses as health groups defend it"
NA,"Australia can’t dump zero Covid strategy until 80% of people vaccinated, Grattan Institute warns"
2021-06-26,"Iran’s supreme leader gets first dose of homegrown vaccine as Covid plans falter"
2021-03-18,"EU regulator to report on AstraZeneca Covid vaccine safety "
NA,"As a paediatrician, I believe it’s right to vaccinate young people aged 12 to 15"
2021-04-12,"Gordon Brown calls for G7 to act on Covid vaccine ‘apartheid’"
NA,"Morning mail: Indigenous vaccination rates lag, Texas abortion ban, hospital pressure"
NA,"US vaccination wars are a headache business owners could do without"
NA,"Savings bonds, lotteries and cheap food: do vaccine incentives work?"
2021-07-06,"Australia’s race to secure Covid vaccine supply likened to Hunger Games as rollout crawls"
NA,"Confusion reigns in UK music due to vaccine passports and event insurance"
NA,"Rich countries ‘ran off and secured supplies’ of Covid vaccines, says Africa envoy"
NA,"German children aged 12 -16 can have Covid Pfizer vaccine in June"
NA,"CDC experts advise third dose of Pfizer Covid vaccine for over-65s and high risk Americans - as it happened"
NA,"‘At the mercy of the system’: Sydney woman’s plea to get vaccine to vulnerable mother in hospital"
NA,"Victorious over Covid, Australia and New Zealand grapple with vaccine rollout"
NA,"Unions press for swift decision on vaccinating children in England"
2021-06-01,"EU plans to lift Covid quarantine rules for vaccinated from 1 July"
2021-07-05,"Delta variant will cause US Covid surges, Fauci says, as poll reveals vaccine resistance"
NA,"EU fails in court action to secure urgent 120m doses of Oxford Covid vaccine"
NA,"The Coalition’s track record shows why its opposition to a Covid vaccine cash incentive is inconsistent"
NA,"Are your children taking part in Covid vaccine trials? "
2021-01-31,"What's the difference between all the Covid vaccines?"
NA,"NHS and care home staff in England: share your experiences of vaccination"
NA,"Tell us: how is the UK vaccine rollout for children going at your school?"
NA,"Colbert on Aaron Rodgers’ ‘alternative’ to vaccine: ‘My Goop senses are tingling’"
2021-04-11,"Global Covid vaccine rollout threatened by shortage of vital components"
2021-09-20,"The Guardian view on vaccines for all: share them now"
NA,"Australia’s Covid vaccine rollout: how to fill the confidence gap"
2021-07-20,"Nudge or nutcracker? Either way PM faces vaccine passport backlash"
NA,"Australia to let in vaccinated visa holders but tourists have to wait"
NA,"Scott Morrison has announced an updated four-phase roadmap out of Covid with vaccination rate triggers"
2021-02-28,"Covid vaccine does not affect fertility but misinformation persists"
NA,"Doubts over Russian Covid vaccine doses delay rollout in Slovakia"
NA,"Trevor Noah on Nicki Minaj’s vaccine tweet: ‘This has turned into a real problem’"
2021-06-15,"Vaccines are working – but these charts show why England is delaying reopening "
NA,"UK pledges £29m more to fast-track vaccines against Covid variants"
NA,"Australia’s vaccine passport plans face resistance in the ACT"
NA,"Australia’s Covid vaccine rollout: everything you should know about the changes "
NA,"Easing travel rules for those vaccinated in US and EU ‘reckless’, says Labour"
NA,"Making up for lost time: Australia needs to speed up to stay in the Covid vaccine race "
NA,"From Brady to Djokovic, Aaron Rodgers is not the first athlete to dabble in quackery"
NA,"UK parents: does your view on vaccination differ from your child’s?"
NA,"One million Covid vaccine doses administered in Wales"
2021-04-19,"Fauci: Republican vaccine deniers are hurting efforts to lift Covid restrictions"
NA,"Seth Meyers on FDA approval of Comirnaty: ‘It already had a great name - Pfizer vaccine’"
2021-03-24,"EU to widen criteria for possible Covid vaccine export bans"
NA,"Japan denies planning to prioritise Olympic athletes for Covid vaccine"
NA,"Just 39% of NSW residents over 70 are fully vaccinated against Covid, despite push for jabs"
NA,"How the US vaccine effort derailed and why we shouldn’t be surprised"
2021-04-26,"What Covid vaccines does the UK have and which are in the works?"
2021-03-11,"Russia's Sputnik V Covid vaccine gaining acceptance in Europe"
NA,"‘The science swayed her’: how do you convince someone to get vaccinated?"
NA,"‘Lots of cancellations’: western Sydney GPs say patients ‘confused’ and ‘frustrated’ by Covid vaccine advice"
NA,"Covid kills a 9/11’s worth of Americans every three days. The vaccine mandate shouldn’t be controversial"
NA,"Concerns raised as GPs and some private health providers exempted from NSW vaccine mandate"
NA,"Victoria’s hotline for booking Covid vaccines crashes after being inundated with calls"
NA,"It’s time for a serious debate about vaccine passports"
2021-02-12,"Who has received the Covid vaccine so far?"
NA,"Does Victoria’s new vaccine mandate apply to you and when is the deadline for getting the jab?"
NA,"Demand soars for monoclonal antibody treatments in states with low vaccination rates"
NA,"Victoria to scrap quarantine for fully vaccinated international arrivals "
2021-08-27,"Gareth Southgate: I got more abuse for vaccine video than managing England"
NA,"NSW parents shocked by school invite to webinar to ‘choose not to take’ Covid vaccine"
2021-04-29,"NHS app will be used as Covid ‘vaccine passport’ for foreign travel"
NA,"Pressure builds on Morrison over vaccines as SA enters lockdown and Victoria extends Covid restrictions"
2021-10-31,"What proportion of pregnant women have been fully vaccinated?"
2021-08-16,"Vaccine hesitancy is a symptom of people’s broken relationship with the state"
NA,"Backlash over US police vaccine mandates has not fueled crime surge, experts say"
NA,"Figures on Covid deaths post-jab show vaccine’s success, scientists say"
NA,"Victoria, Tasmania and NT working on vaccine passports, Daniel Andrews reveals"
NA,"Young Australians don’t need a Covid ‘wake-up call’. We need to be vaccinated"
NA,"Tucker Carlson claims US military vaccine mandate a ‘purity test’ for ‘men with high testosterone’"
NA,"Covid vaccine ads aim to influence without alienating people"
2021-05-20,"‘We booked straight away’: first Covid vaccine tourists arrive in San Marino"
NA,"China and the west must now cooperate to achieve global Covid vaccine coverage"
NA,"US urged to fast-track vaccine approval for children under 12 as cases rise"
NA,"Covid vaccines: what is patent waiving and will it solve the global shortage?"
NA,"‘Uncharted territory’: few countries have hit 80% Covid vaccination target Australia has set to ease restrictions"
NA,"Getting kids vaccinated isn’t just a health victory. It’s a lifeline for millions of women"
2021-02-06,"UK ministers look into Covid ‘vaccine passport’ idea"
2021-04-28,"Leading scientists urge UK to share Covid vaccines with poorer nations"
2021-04-15,"UK study on mixing Covid vaccines between jabs to be expanded"
NA,"From ‘it’s not a race’ to ‘go for gold’: how Scott Morrison pivoted on Australia’s Covid vaccine rollout"
NA,"First Thing: ‘monumental moment’ as US backs patent waiver for Covid vaccines"
2021-02-15,"What are the pros and cons of Covid vaccine passports?"
2021-10-23,"UK vaccines watchdog ‘approves second jabs for 16 and 17-year-olds’"
NA,"Speed production of vaccines or Covid won’t go until 2024 – French minister"
NA,"Victoria to receive ‘surge’ of Pfizer, Moderna vaccine doses as 392 cases recorded – as it happened"
2021-10-16,"On vaccine hesitancy, what would Jesus do?"
NA,"Berejiklian flags mid-October as ‘much more normal’ at 70% vaccination rate"
NA,"Former vaccine chief will return to NHS role amid concern over booster jabs rollout"
NA,"UK to send 1m Pfizer vaccine doses to South Korea in swap deal"
NA,"Vaccine hesitancy and variants mean Australia may not reach Covid herd immunity – researchers"
NA,"Some GPs refuse to give AstraZeneca jab to young Australians eager to get Covid vaccine"
NA,"Sussex University offers £5,000 prize for vaccinated students"
2021-04-07,"Welsh patients to be first in UK to receive Moderna Covid vaccine "
2021-04-14,"EU seeking ‘urgent clarification’ on Johnson & Johnson Covid vaccine delay"
NA,"Vaccines are risky for me, but I don’t regret getting my Covid jab"
NA,"Office workers in England not obliged to be vaccinated, says minister"
2021-09-19,"Ministers told to bar EU from UK trial data in vaccines row"
NA,"‘I would want to be vaccinated first’: Covid experts on England’s relaxed rules"
NA,"Only one in five aged care homes close to vaccinating all staff against Covid as deadline looms"
2021-05-20,"Vaccine availability is the issue, not hesitancy"
2021-05-27,"AstraZeneca did ‘not even try’ to meet Covid vaccine contract, EU tells court"
NA,"Share your experiences of vaccine disparity"
2021-04-12,"Top Beijing official admits efficacy of China’s Covid vaccines is low"
NA,"First Thing: How the US vaccine effort derailed"
2021-08-03,"The key to persuading people to get vaccinated "
2021-05-19,"Vaccine hesitancy narrative fuelling divisions in Bolton, says MP"
NA,"Jimmy Kimmel: Emmys ‘opened with Rita Wilson rapping and got even whiter from there’"
NA,"CDC ‘deeply concerned’ about rising Covid cases as vaccinations accelerate"
NA,"‘No data’ linking Covid vaccines to menstrual changes, US experts say"
NA,"Australia commits $100m to Covid vaccine deal at Quad meeting"
NA,"Australia to support vaccine waiver after months of pressure from human rights groups"
NA,"Biden vows to send 20m doses of US-approved Covid vaccines overseas"
NA,"Coalition expects 2m doses of Pfizer Covid vaccine a week by beginning of October "
NA,"Australian expats not registered with Medicare say they can’t get their vaccinations recognised"
NA,"‘Wellness warriors’: how Victoria’s vaccine mandate sparked divisions in progressive Brunswick"
NA,"Australia’s Covid vaccination relying on opaque private contracts worth millions"
NA,"Italy pledges to donate 45m vaccine doses – as it happened"
NA,"Boris Johnson says he will not rule out ‘plan B’ of vaccine passports, masks and homeworking – as it happened"
NA,"India begins world's biggest Covid vaccination programme"
NA,"FDA expert panel endorses Moderna vaccine booster shot – as it happened"
2021-02-16,"Israel battles Covid misinformation as vaccination drive slows"
NA,"Covid live: early boosters approved for vulnerable people in UK; Brazil health chiefs receive death threats over vaccine for children – as it happened"
NA,"EU states begin using single-dose J&J Covid vaccine "
2021-05-05,"Cuba punches above its weight to develop its own Covid vaccines"
NA,"EU plans to reopen to fully Covid-vaccinated foreign tourists from June"
NA,"‘Critical’ lack of Covid vaccine supply in Melbourne forcing GPs to turn people away"
NA,"Sydney mother turns to Twitter in desperate bid to get daughter with Down’s syndrome vaccinated"
2021-05-27,"German scientists say they can help improve Covid vaccines to prevent blood clots"
2021-07-24,"‘Heart-wrenching’: inside a hospital grappling with Delta and vaccine hesitancy"
2021-05-02,"A drop of hope: new poetry exhibition celebrates power of Covid vaccine"
NA,"Morrison government under fire over Covid vaccine delays as Victoria enters lockdown"
2021-03-27,"By how much has UK’s vaccine progress reduced Covid risk?"
2021-03-29,"What does Moderna's Covid jab mean for the UK vaccine rollout?"
2021-02-26,"Moderna forecasts $18bn in sales of Covid vaccine this year"
2021-04-09,"Beijing colour-codes buildings to show workers’ Covid vaccination rates"
NA,"Calls for extension to Australia’s compulsory aged care vaccinations as Friday deadline approaches"
NA,"More than 75% of Australians support compulsory Covid vaccines for aged care staff"
NA,"Misinformation 'superspreaders': Covid vaccine falsehoods still thriving on Facebook and Instagram"
NA,"CDC advises vaccinated people to wear masks indoors in Delta surge areas"
NA,"Pfizer says no change to Australian Covid vaccine doses, contradicting reports of ‘game-changing’ deal"
NA,"Atagi changes vaccine advice for Sydney – as it happened"
2021-09-23,"Refusing your booster vaccine won’t help poorer countries"
2021-04-28,"Vaccinating adolescents could help prevent third wave of Covid in UK – study"
NA,"Pro-vaccine Fox News host receives support from CNN anchor over death threats"
NA,"Covid variants will be the next big challenge. Can vaccines protect us?"
2021-03-24,"Covid: 'greed' and capitalism behind vaccine success, Johnson tells MPs"
2021-07-23,"Rates of double-jabbed people in hospital will grow – but that does not mean Covid vaccines are failing"
NA,"Covid Australia numbers update for 18 August: record spike in NSW cases and Indigenous vaccination rates lagging"
2021-07-08,"Age, sex, vaccine dose, chronic illness – insight into risk factors for severe Covid is growing"
2021-04-30,"Nearly a quarter of British health workers wary of Covid-19 vaccine"
2021-04-14,"UK strategy of backing several Covid vaccines seems to be paying off"
NA,"Confusion over Covid vaccination targets as Josh Frydenberg defends big-spending budget"
NA,"Pentagon to mandate vaccines for US military – as it happened"
NA,"Vaccination rate of 70% won’t end lockdowns if Covid case numbers are too high, Doherty Institute expert says"
2021-06-05,"NHS says it can’t provide extra Covid vaccines in Blackburn despite infection rate"
2021-06-27,"Will vaccines protect us against the Delta variant?"
2021-06-26,"‘I don’t have a choice’: Russians scramble to get Covid vaccine amid new restrictions"
NA,"Morning mail: gaps in vaccination rates exposed, plans to entice UK workers, bird-mad kids"
NA,"Morning mail: calls to extend mandatory vaccines, Fox News threat, lockdown debate"
NA,"Why the Covid vaccination program in the Torres Strait islands depends on trust"
2021-04-29,"UK orders 60m more doses of Pfizer Covid vaccine for booster jabs"
NA,"Germany challenges AstraZeneca Covid vaccine efficacy reports"
NA,"Africa shouldn’t be forced to go it alone when it comes to Covid vaccines"
NA,"For some Black Americans, vaccine hesitancy is just one part of a legacy of mistrust"
NA,"Vaccinating children in Australia would help protect against Covid but high-risk groups first, experts say"
2021-07-16,"As global Covid vaccine passports become a reality, we have to make sure they’re fair"
NA,"Morning mail: Cop26 preparations, vaccination system flaws, swell leather"
NA,"Health department boss told staff incoming vaccine chief wouldn’t ‘change anything’, email reveals"
2021-04-28,"Global faith leaders call for drug firms to vaccinate world against Covid"
NA,"Will vaccination become part of the back-to-school ritual?"
NA,"North Carolina hospitals group has sacked employees who refused vaccines"
2021-03-20,"How are Covid vaccines produced and why have there been delays?"
NA,"The healthcare team bringing vaccines – and hope – to Toronto’s most Covid vulnerable"
NA,"Zuckerberg deflects questions about vaccine disinformation on Facebook"
2021-02-20,"UK scientists highlight 12 criteria for Covid vaccine passports"
2021-05-17,"What threat does Indian Covid variant pose and do vaccines work against it?"
2021-06-12,"Most people in UK initially opposed to Covid vaccine have had jab, study finds"
NA,"Indigenous vaccination gap grows as NSW outbreak claims seven Aboriginal lives"
NA,"EU to send formal letter to AstraZeneca in Covid vaccine dispute"
NA,"Irving stays quiet on ‘world of Kyrie’ as questions grow over vaccine status"
NA,"‘How long can Australia go on like this?’: what world thought of ‘feeble’ Covid vaccine rollout"
NA,"First Thing: why has the US vaccine effort stalled?"
2021-08-28,"To vaccinate children or not? Getting decision right is far from child’s play"
2021-05-07,"US support for Covid vaccine patent waivers puts pressure on EU and UK"
NA,"EU regulator finds no link between vaccines and menstrual disorders – as it happened"
NA,"Pubs, cafes and hairdressers to reopen when NSW reaches 70% vaccination target next month"
2021-03-19,"Covid vaccine dip spotlights tensions between Matt Hancock and NHS"
NA,"How US companies could use patients’ data from Covid vaccine drive"
NA,"Australian Press Council criticises Herald Sun for ‘misleading’ Pfizer Covid vaccine subheading"
2021-03-18,"Covid vaccines for England's under-50s delayed due to shortage"
2021-12-01,"Let’s not pretend the anti-mask babies would have lasted a minute in the blitz"
2021-07-30,"Top Republicans’ new tone on vaccines having little effect on hardcore holdouts"
2021-05-07,"US-Germany rift as Berlin opposes plan to ditch Covid vaccine patents"
2021-05-07,"Pharmaceutical firms’ shares tumble after US plans patent waiver on Covid vaccines "
NA,"Morrison says 70% vaccination target needed to ease restrictions – as it happened"
NA,"One Nation anti-vaccine mandate bill rejected despite support from five Coalition senators"
NA,"Covid case confirmed at NSW vaccination hub; NSW reports 24 local cases – as it happened"
NA,"Over-50s in England can now book Covid vaccine slots"
NA,"Covid vaccine landmark as more than half UK receives initial jab"
NA,"Australia still lags many other countries on vaccine rollout – but it’s catching up fast"
NA,"Covid vaccine: 96% of Britons develop antibodies after one jab, study finds"
NA,"Victoria to make AstraZeneca available to under-40s as it launches nation’s first drive-through vaccine hub"
2021-03-30,"Covid: new vaccines needed globally within a year, say scientists"
NA,"Biden’s hard line on vaccine mandates draws praise and pushback"
NA,"It is absurd not to recognise vaccines given abroad"
NA,"Vaccine boost pushes Tories’ approval rating on Covid into positive territory"
NA,"Pfizer warns Australia a Covid vaccine patent waiver could harm supply and safety"
NA,"Why is Nicki Minaj tweeting about vaccines and some guy’s swollen testicles?"
2021-03-26,"Covid checks at pubs 'could nudge young people to get vaccine'"
2021-02-18,"Dominic Raab calls for ceasefires to enable Covid vaccinations"
NA,"Morrison suggests vaccine passports may not be needed for interstate travel"
NA,"It’s not enough to cross our fingers and hope Australians get vaccinated. We have to go where people are"
2021-03-03,"Covid: Germany and France under pressure to shift Oxford vaccine"
NA,"Queensland premier vows to ‘stand strong’ on border controls until all children are vaccinated"
NA,"Queensland premier vows to ‘stand strong’ on border controls until all children are vaccinated"
NA," Idaho lieutenant governor bans vaccine mandates while governor out of state"
2021-03-29,"Madeira lets in tourists who can show Covid 'vaccine passport'"
2021-09-10,"Ministers hoping vaccines watchdog will back mass rollout of booster jabs"
NA,"‘Not their fault’: aged care sector says Covid vaccine mandate won’t fix government’s ‘failed’ rollout"
NA,"Vaccine requirements for children could hamper Australians returning from UK"
2021-12-11,"Someone in my family won’t get the vaccine – should we still spend Christmas with them?"
NA,"Calls grow for united effort to get homeless Australians vaccinated"
NA,"More than 60% of people visiting Melbourne vaccination hub did not have Medicare card"
NA,"‘Think of others’: elderly people in Zimbabwe dispel scepticism on Covid vaccine"
NA,"Some housebound people in UK are yet to be given Covid vaccine"
NA,"Scott Morrison accused of ‘misrepresenting’ Atagi advice to shift blame for botched vaccine rollout"
NA,"UK young people: how do you feel about getting your second vaccine dose?"
NA,"Australians will be able to freely travel overseas when 80% of the population is vaccinated, Morrison says "
NA,"Spain, Belgium and Italy restrict AstraZeneca Covid vaccine to older people"
NA,"NSW hits 80% vaccination target; Victoria’s seven deaths include 15-year-old girl – as it happened"
2021-02-28,"Dad's Covid vaccination puts him in the spotlight once more"
NA,"Why is Newcastle so good at Covid-19 vaccinations?"
2021-03-27,"Gibraltar looks to post-Covid era as vaccine drive nears completion"
2021-02-13,"What we know about Covid reinfection, immunity and vaccines"
NA,"Decline in US Covid vaccinations presents new problem: how to shrink operations"
2021-06-19,"Springsteen’s back on Broadway – and now AstraZeneca vaccine recipients are allowed "
NA,"Australian doctors urge government to give greater certainty on Covid vaccines"
2021-03-26,"UK diplomacy masks private fury in Covid vaccine row with EU"
NA,"GPs overwhelmed as website prematurely allows bookings for second Covid vaccination"
NA,"Victoria turns away under-50s trying to get Covid jab at vaccination hubs"
NA,"Tokyo Olympics: local fans may need to show vaccination proof or negative Covid test"
NA,"‘Disinfo kills’: protesters demand Facebook act to stop vaccine falsehoods"
2021-09-06,"Children could override parents’ decision on vaccines, says Zahawi"
2021-05-21,"Labour says UK must ‘get off the fence’ over global Covid vaccine access"
2021-08-03,"Text reminders could boost vaccine uptake by 26%, study finds"
NA,"I gave my 29-year-old partner the AstraZeneca vaccine. It’s a no-brainer"
NA,"No Covid status checks until everyone has vaccine, PM suggests"
NA,"Covid 'angels': the volunteers helping at-risk strangers get vaccinated"
NA,"EU denies blocking 3.1m Covid vaccine doses from reaching Australia"
2021-09-04,"Anti-vaccine protesters try to storm London offices of medical regulator"
NA,"I’m double vaccinated and live in NSW. What are my new freedoms?"
NA,"OzSage modelling suggests higher level of deaths in NSW at 80% than 70% vaccination rate"
NA,"Medicare app flaw means vaccine certificates can be faked in less than 10 minutes"
2021-03-25,"Delhi reportedly halts AstraZeneca Covid vaccine exports as cases soar"
2021-04-10,"Clarity and openness are key to vaccine confidence"
2021-07-22,"Labour opposition may scupper Boris Johnson vaccine passport plan"
NA,"Aboriginal health groups fear ‘big gaps’ in vaccine coverage are being hidden by lack of data"
NA,"Covid: US states moving to lift mask requirements as vaccination rates slow"
NA,"Lottery tickets or cash: experts say Australians need incentives to get Covid vaccine"
NA,"Britain in talks to waive Covid vaccine patents to improve global access to jabs"
2021-02-25,"Frustration grows in Germany over sluggish rollout of Covid vaccines"
2021-08-14,"UK universities open vaccination centres on campus to encourage student uptake"
NA,"Australian children under 12 could be vaccinated this year as minister urges Pfizer to seek approval"
2021-03-21,"Vaccine wars: the week that rocked the UK’s Covid jab rollout"
NA,"AstraZeneca now only recommended for Australians aged 60 and over in blow to Covid vaccine rollout"
NA,"Morning mail: more NSW Covid cases likely, vaccine success, Trump ban upheld"
NA,"Status of some UK citizens vaccinated overseas still not recognised by NHS"
NA,"From free beer to celebrity endorsements: the creative approaches to promoting Covid vaccines"
