"newspaper_edition_date","headline"
NA,"US Covid cases surge as vaccine progress slows and Omicron variant sparks fears"
NA,"‘No jab, no job’: care home workers in England on the Covid vaccine mandate"
2021-11-27,"Failure to share Covid vaccines ‘coming back to haunt us’, says Gordon Brown"
2021-08-14,"What are the UK’s plans for Covid booster vaccines?"
NA,"Liberal senator Gerard Rennick’s vaccine claims condemned by health officials in Covid inquiry"
NA,"Co-founder of Christian TV network that railed against vaccines dies of Covid-19"
NA,"Covid live: Italy bans unvaccinated from numerous venues and extends compulsory vaccination"
NA,"Virginia governor reveals his long Covid symptoms as he urges vaccinations"
2021-10-06,"England urged to step up vaccinations to avoid winter Covid surge"
2021-12-06,"Omicron is a ‘wake-up call’ to vaccinate poorer nations, experts say"
NA,"Homegrown Covid vaccines fill gap as UN Covax scheme misses target"
NA,"Trump booed after telling supporters to get Covid vaccine "
NA,"Western Australia nurse who allegedly faked giving Covid vaccine to teenager charged"
NA,"Tell us: have you received the Covid-19 booster vaccine while housebound?"
NA,"Australian business groups lament ‘nightmare’ of states’ differing Covid vaccine mandates"
NA,"Covid vaccination won’t be available to under-12s until 2022, Greg Hunt says"
NA,"Young Australians with disabilities face significant barriers to getting Covid vaccine"
2021-11-21,"Scientists urge caution over proposals to impose vaccine passports in UK"
NA,"Covid live: Egypt starts vaccine trial; Austria to put unvaccinated people in lockdown"
NA,"NRL dithers as onus put on clubs to navigate Covid-19 vaccine issue"
2021-04-26,"In the fight against Covid, have we been inoculated against compassion?"
2021-11-16,"Māori tribe tells anti-Covid vaccine protesters to stop using its haka"
NA,"Australian health authorities warn against mixing Covid vaccine types"
NA,"TGA recognises two more Covid vaccines as international border reopens – as it happened"
2021-09-14,"Rugby authorities urge Premiership players to get Covid-19 vaccination"
2021-11-30,"The Guardian view on vaccines and Omicron: upping the antibodies"
NA,"New Zealand Covid vaccines to arrive one month early, border staff to be inoculated next week"
NA,"Covid vaccine protests in Melbourne as Kerry Chant warns of ‘uptick’ in Sydney Omicron cases"
NA,"Australians fired for refusing Covid vaccine search social media for ‘welcoming’ employers"
2021-07-20,"How will England’s domestic Covid vaccine passports work?"
2021-10-24,"Which protects you more against Covid – vaccination or prior infection?"
NA,"Vaccine skeptic US cardinal on ventilator after Covid diagnosis"
2021-10-19,"Valneva Covid vaccine could be as effective as Oxford jab, study suggests"
NA,"Covid vaccines for US children are coming but challenge will be persuading parents"
NA,"Prince Harry and Meghan appeal to G20 to keep Covid vaccine donation pledges"
NA,"Staff shortages are hobbling vaccination campaigns as US demand runs high"
NA,"Australia’s supply of Pfizer Covid vaccine may face disruption in October"
NA,"Covid vaccinations among US Latinos are rising thanks to community outreach"
NA,"What does getting Covid feel like for the fully vaccinated?"
NA,"US man who survived Covid says sorry to doctors for not getting vaccinated"
NA,"Covid vaccination map of Australia: which areas have the highest and lowest vaccine rates?"
2021-11-29,"What does appearance of Omicron variant mean for the double-vaccinated?"
NA,"California becomes first state to require Covid vaccines for all students"
NA,"NSW and Victoria close in on vaccination milestones – as it happened"
NA,"New York: 9,000 public workers put on unpaid leave for refusing Covid vaccine"
NA,"Stark divide: disadvantaged areas of Victoria have worst Covid vaccination rates"
2021-10-25,"UK falling behind most G7 countries in sharing Covid vaccines, figures show"
NA,"Australian children aged five to 11 to receive Pfizer Covid vaccine from 10 January"
NA,"Panic, lockdown and a rush to vaccinate in Tonga as first Covid case recorded"
NA,"Queensland country music festival becomes Australia’s first to offer Covid vaccines"
2021-08-05,"The risks and rewards of vaccinating UK children against Covid"
NA,"Australia to boost Indigenous Covid vaccinations as bungled Victorian figures corrected"
